年月,種類,収集量,月
2013-04,可燃ごみ,4053.99,4
2013-04,不燃ごみ,208.9,4
2013-04,粗大ごみ,179.21,4
2013-04,管路収集,175.37,4
2013-05,可燃ごみ,4107.33,5
2013-05,不燃ごみ,194.31,5
2013-05,粗大ごみ,182.69,5
2013-05,管路収集,196.96,5
2013-06,可燃ごみ,3812.56,6
2013-06,不燃ごみ,192.06,6
2013-06,粗大ごみ,173.04,6
2013-06,管路収集,172.12,6
2013-07,可燃ごみ,4135.69,7
2013-07,不燃ごみ,175.99,7
2013-07,粗大ごみ,189.66,7
2013-07,管路収集,200.17,7
2013-08,可燃ごみ,3760.89,8
2013-08,不燃ごみ,183.28,8
2013-08,粗大ごみ,178.13,8
2013-08,管路収集,209.09,8
2013-09,可燃ごみ,3628.44,9
2013-09,不燃ごみ,190.47,9
2013-09,粗大ごみ,170.24,9
2013-09,管路収集,184.63,9
2013-10,可燃ごみ,4065.23,10
2013-10,不燃ごみ,192.32,10
2013-10,粗大ごみ,193.95,10
2013-10,管路収集,181.62,10
2013-11,可燃ごみ,3814.94,11
2013-11,不燃ごみ,197.47,11
2013-11,粗大ごみ,164.14,11
2013-11,管路収集,200.61,11
2013-12,可燃ごみ,4090.09,12
2013-12,不燃ごみ,219.83,12
2013-12,粗大ごみ,182.08,12
2013-12,管路収集,229.9,12
2014-01,可燃ごみ,4123.28,1
2014-01,不燃ごみ,199.84,1
2014-01,粗大ごみ,163.66,1
2014-01,管路収集,167.56,1
2014-02,可燃ごみ,3436.04,2
2014-02,不燃ごみ,188.63,2
2014-02,粗大ごみ,161.3,2
2014-02,管路収集,137.86,2
2014-03,可燃ごみ,3963.37,3
2014-03,不燃ごみ,196.27,3
2014-03,粗大ごみ,200.36,3
2014-03,管路収集,182.3,3
2014-04,可燃ごみ,4058.45,4
2014-04,不燃ごみ,205.76,4
2014-04,粗大ごみ,207.32,4
2014-04,管路収集,186.33,4
2014-05,可燃ごみ,4037.84,5
2014-05,不燃ごみ,174.58,5
2014-05,粗大ごみ,201.54,5
2014-05,管路収集,180.91,5
2014-06,可燃ごみ,3812.66,6
2014-06,不燃ごみ,184.04,6
2014-06,粗大ごみ,174.52,6
2014-06,管路収集,174.5,6
2014-07,可燃ごみ,4125.28,7
2014-07,不燃ごみ,161.73,7
2014-07,粗大ごみ,185.41,7
2014-07,管路収集,174.36,7
2014-08,可燃ごみ,3660.09,8
2014-08,不燃ごみ,171.35,8
2014-08,粗大ごみ,164.71,8
2014-08,管路収集,214.98,8
2014-09,可燃ごみ,3801.2,9
2014-09,不燃ごみ,167.87,9
2014-09,粗大ごみ,175.15,9
2014-09,管路収集,185.52,9
2014-10,可燃ごみ,3986.99,10
2014-10,不燃ごみ,171.59,10
2014-10,粗大ごみ,179.75,10
2014-10,管路収集,191.08,10
2014-11,可燃ごみ,3687.67,11
2014-11,不燃ごみ,169.9,11
2014-11,粗大ごみ,163.61,11
2014-11,管路収集,184.81,11
2014-12,可燃ごみ,4322.47,12
2014-12,不燃ごみ,186.48,12
2014-12,粗大ごみ,196.9,12
2014-12,管路収集,210.68,12
2015-01,可燃ごみ,4107.1,1
2015-01,不燃ごみ,185.95,1
2015-01,粗大ごみ,146.09,1
2015-01,管路収集,158.03,1
2015-02,可燃ごみ,3438.73,2
2015-02,不燃ごみ,175.21,2
2015-02,粗大ごみ,159.45,2
2015-02,管路収集,154.78,2
2015-03,可燃ごみ,3954.9,3
2015-03,不燃ごみ,166.67,3
2015-03,粗大ごみ,193.27,3
2015-03,管路収集,188.2,3
2015-04,可燃ごみ,3994.35,4
2015-04,不燃ごみ,194.4,4
2015-04,粗大ごみ,202.8,4
2015-04,管路収集,181.59,4
2015-05,可燃ごみ,3925.86,5
2015-05,不燃ごみ,191.77,5
2015-05,粗大ごみ,196.76,5
2015-05,管路収集,208.92,5
2015-06,可燃ごみ,3938.12,6
2015-06,不燃ごみ,179.1,6
2015-06,粗大ごみ,207.96,6
2015-06,管路収集,180.19,6
2015-07,可燃ごみ,4062.6,7
2015-07,不燃ごみ,170.16,7
2015-07,粗大ごみ,184.92,7
2015-07,管路収集,178.2,7
2015-08,可燃ごみ,3668.68,8
2015-08,不燃ごみ,170.92,8
2015-08,粗大ごみ,185.47,8
2015-08,管路収集,231.05,8
2015-09,可燃ごみ,3885.05,9
2015-09,不燃ごみ,169.82,9
2015-09,粗大ごみ,172.96,9
2015-09,管路収集,194.95,9
2015-10,可燃ごみ,3873.87,10
2015-10,不燃ごみ,179.94,10
2015-10,粗大ごみ,194.81,10
2015-10,管路収集,191.13,10
2015-11,可燃ごみ,3740.04,11
2015-11,不燃ごみ,177.35,11
2015-11,粗大ごみ,181.49,11
2015-11,管路収集,184.98,11
2015-12,可燃ごみ,4359.68,12
2015-12,不燃ごみ,182.66,12
2015-12,粗大ごみ,201.71,12
2015-12,管路収集,196.02,12
2016-01,可燃ごみ,3960.93,1
2016-01,不燃ごみ,191.1,1
2016-01,粗大ごみ,153.21,1
2016-01,管路収集,173.94,1
2016-02,可燃ごみ,3658.34,2
2016-02,不燃ごみ,172.36,2
2016-02,粗大ごみ,179.41,2
2016-02,管路収集,170.16,2
2016-03,可燃ごみ,4117.44,3
2016-03,不燃ごみ,171.3,3
2016-03,粗大ごみ,207.4,3
2016-03,管路収集,181.7,3
2016-04,可燃ごみ,3983.76,4
2016-04,不燃ごみ,179.76,4
2016-04,粗大ごみ,193.71,4
2016-04,管路収集,188.7,4
2016-05,可燃ごみ,4040.84,5
2016-05,不燃ごみ,184.33,5
2016-05,粗大ごみ,181.09,5
2016-05,管路収集,214.34,5
2016-06,可燃ごみ,3952.92,6
2016-06,不燃ごみ,167.67,6
2016-06,粗大ごみ,190.16,6
2016-06,管路収集,184.73,6
2016-07,可燃ごみ,3906.58,7
2016-07,不燃ごみ,166.39,7
2016-07,粗大ごみ,190,7
2016-07,管路収集,197.03,7
2016-08,可燃ごみ,3941.52,8
2016-08,不燃ごみ,167.59,8
2016-08,粗大ごみ,189.85,8
2016-08,管路収集,212.84,8
2016-09,可燃ごみ,3837.54,9
2016-09,不燃ごみ,177.46,9
2016-09,粗大ごみ,181.57,9
2016-09,管路収集,193.9,9
