Date,Open,High,Low,Close,Volume
2021-01-04,27575.57,27602.11,27042.32,27258.38,51500000
2021-01-05,27151.38,27279.78,27073.46,27158.63,55000000
2021-01-06,27102.85,27196.40,27002.18,27055.94,72700000
2021-01-07,27340.46,27624.73,27340.46,27490.13,98900000
2021-01-08,27720.14,28139.03,27667.75,28139.03,84900000
2021-01-12,28004.37,28287.37,27899.45,28164.34,78800000
2021-01-13,28140.10,28503.43,28133.59,28456.59,70900000
2021-01-14,28442.73,28979.53,28411.58,28698.26,81900000
2021-01-15,28777.47,28820.50,28477.03,28519.18,74100000
2021-01-18,28238.68,28349.97,28111.54,28242.21,51900000
2021-01-19,28405.49,28720.91,28373.34,28633.46,58200000
2021-01-20,28798.74,28801.19,28402.11,28523.26,69800000
2021-01-21,28710.41,28846.15,28677.61,28756.86,67700000
2021-01-22,28580.20,28698.18,28527.16,28631.45,66900000
2021-01-25,28698.89,28822.29,28566.85,28822.29,57300000
2021-01-26,28696.30,28740.71,28527.81,28546.18,63500000
2021-01-27,28665.34,28754.99,28542.00,28635.21,69000000
2021-01-28,28169.27,28360.48,27975.85,28197.42,123900000
2021-01-29,28320.72,28320.72,27629.80,27663.39,91700000
2021-02-01,27649.07,28107.10,27649.07,28091.05,65700000
2021-02-02,28207.48,28379.31,28089.12,28362.17,67500000
2021-02-03,28482.71,28669.95,28402.30,28646.50,84000000
2021-02-04,28557.46,28600.22,28325.89,28341.95,81100000
2021-02-05,28631.46,28785.71,28548.27,28779.19,93200000
2021-02-08,28831.58,29400.56,28817.60,29388.50,93600000
2021-02-09,29435.61,29585.75,29350.48,29505.93,86900000
2021-02-10,29412.55,29562.93,29368.18,29562.93,81100000
2021-02-12,29635.88,29650.51,29417.32,29520.07,79800000
2021-02-15,29662.41,30092.34,29662.41,30084.15,70300000
2021-02-16,30229.46,30714.52,30191.65,30467.75,81300000
2021-02-17,30366.82,30398.20,30191.01,30292.19,74800000
2021-02-18,30311.98,30560.49,30140.01,30236.09,77900000
2021-02-19,29970.59,30169.59,29847.33,30017.92,63700000
